시도,시군구,면적_km2,IC수,IC밀도_per1000km2,최근접무역항,항만거리_km,산업용전력_2024_kWh,산업용전력_2023_kWh,평균급여_만원,lat,lng
경기,파주시,688.75,1.0,1.452,경인항,36.5,6594778953.0,6652784133,3980.7,37.85554,126.80958
경기,평택시,458.41,5.0,10.907,평택당진항,22.0,18158294489.0,16291114812,4284.8,37.01544,126.99346
경기,포천시,825.12,0.0,0.0,서울항,56.3,1532261571.0,1577991432,3244.8,37.96992,127.25045
경기,하남시,92.83,6.0,64.634,서울항,24.2,549800099.0,556003737,4870.3,37.5228,127.20592
경기,화성시,713.26,8.0,11.216,평택당진항,17.4,15852642575.0,16012028620,5082.5,37.16383,126.85926
경남,거제시,407.64,0.0,0.0,고현항,5.6,1204078691.0,1108431037,4157.2,34.87017,128.62347
경남,거창군,799.46,4.0,5.003,하동항,88.7,113387186.0,119458012,3634.1,35.73257,127.90412
경남,고성군,520.36,3.0,5.765,통영항,23.2,355050537.0,391581589,3414.1,35.01597,128.29059
경남,김해시,461.92,11.0,23.814,진해항,22.5,3211646532.0,3262967942,3919.0,35.27217,128.84521
경남,남해군,362.08,0.0,0.0,광양항,15.5,19204205.0,19609051,3380.6,34.81783,127.94168
경남,밀양시,801.33,1.0,1.248,진해항,42.6,638716686.0,613528327,3511.4,35.49851,128.78968
경남,사천시,402.04,2.0,4.975,삼천포항,13.5,896131716.0,898498976,4072.3,35.0494,128.03735
경남,산청군,791.77,3.0,3.789,하동항,48.4,96429784.0,93774892,3401.0,35.36862,127.88436
경남,양산시,486.46,5.0,10.278,부산항,34.0,2340565702.0,2398450960,3872.1,35.40189,129.04104
경남,의령군,481.56,0.0,0.0,마산항,40.2,186751615.0,191372317,3546.4,35.39244,128.27713
경남,진주시,713.05,6.0,8.415,삼천포항,31.4,865284834.0,876299839,4130.2,35.20516,128.12983
경남,창녕군,530.07,4.0,7.546,마산항,41.7,545399924.0,552870207,3437.3,35.50834,128.49294
경남,창원시,752.35,5.0,6.646,마산항,6.5,6110945108.0,6276605678,4322.7,35.20145,128.60004
경남,통영시,250.09,2.0,7.997,통영항,1.6,398677519.0,360670300,3440.1,34.82489,128.37413
경남,하동군,678.19,2.0,2.949,하동항,21.9,198735307.0,194411215,3501.4,35.13734,127.77921
경남,함안군,415.78,5.0,12.026,마산항,22.3,2527377522.0,2557972255,3701.7,35.29098,128.43087
경남,함양군,720.93,4.0,5.548,하동항,68.3,52393334.0,78702762,3470.7,35.55174,127.72207
경남,합천군,983.94,2.0,2.033,마산항,63.5,68618501.0,72342137,3396.0,35.57666,128.14158
경북,경산시,411.09,1.0,2.433,포항항,63.3,1563276493.0,1582172040,3511.6,35.83411,128.80907
경북,경주시,1319.34,4.0,3.032,포항항,36.5,2683481288.0,2738686057,4082.3,35.82664,129.23602
경북,고령군,386.6,3.0,7.76,마산항,71.1,959092455.0,1019659889,3409.3,35.73723,128.30677
경북,구미시,613.92,4.0,6.516,포항항,95.7,7580967911.0,7495136038,4439.7,36.20734,128.35547
경북,군위군,613.26,1.0,1.631,포항항,69.2,,71668527,,36.17014,128.64807
경북,김천시,1005.36,6.0,5.968,마산항,112.3,1684564417.0,1606721889,4006.4,36.0605,128.07783
경북,문경시,914.64,1.0,1.093,호산항,121.3,202507174.0,206786971,3502.5,36.69078,128.1487
경북,봉화군,1201.3,0.0,0.0,호산항,49.4,1246935898.0,1824749744,3531.7,36.93419,128.91299
경북,상주시,1251.47,6.0,4.794,포항항,125.7,172025410.0,160845911,3497.4,36.42957,128.067
경북,성주군,612.94,2.0,3.263,마산항,91.1,760935878.0,795458205,3481.6,35.90725,128.23335
