시도,시군구,code,면적_km2,lat,lng,IC수,IC밀도_per1000km2,최근접무역항,항만거리_km
경북,포항시남구,37011,395.95,35.95846,129.43777,2,5.051,포항항,18.2
경북,포항시북구,37012,735.89,36.16504,129.23428,2,2.718,포항항,17.1
경북,경주시,37020,1319.34,35.82664,129.23602,4,3.032,포항항,36.5
경북,김천시,37030,1005.36,36.0605,128.07783,6,5.968,마산항,112.3
경북,안동시,37040,1527.0,36.5803,128.78,3,1.965,포항항,76.5
경북,구미시,37050,613.92,36.20734,128.35547,4,6.516,포항항,95.7
경북,영주시,37060,672.99,36.87054,128.59765,2,2.972,호산항,76.6
경북,영천시,37070,915.49,36.01583,128.94264,5,5.462,포항항,44.2
경북,상주시,37080,1251.47,36.42957,128.067,6,4.794,포항항,125.7
경북,문경시,37090,914.64,36.69078,128.1487,1,1.093,호산항,121.3
경북,경산시,37100,411.09,35.83411,128.80907,1,2.433,포항항,63.3
경북,군위군,37310,613.26,36.17014,128.64807,1,1.631,포항항,69.2
경북,의성군,37320,1169.39,36.36201,128.61501,3,2.565,포항항,76.7
경북,청송군,37330,846.59,36.35705,129.05744,2,2.362,포항항,41.5
경북,영양군,37340,819.05,36.69642,129.14502,0,0.0,호산항,60.1
경북,영덕군,37350,744.77,36.48247,129.31764,1,1.343,포항항,41.2
경북,청도군,37360,692.98,35.6729,128.78651,0,0.0,울산항,60.8
경북,고령군,37370,386.6,35.73723,128.30677,3,7.76,마산항,71.1
경북,성주군,37380,612.94,35.90725,128.23335,2,3.263,마산항,91.1
경북,칠곡군,37390,450.01,36.01549,128.46255,5,11.111,포항항,86.5
경북,예천군,37400,664.38,36.65388,128.42244,1,1.505,호산항,103.0
경북,봉화군,37410,1201.3,36.93419,128.91299,0,0.0,호산항,49.4
경북,울진군,37420,992.98,36.90408,129.3124,0,0.0,호산항,34.3
경북,울릉군,37430,73.66,37.50192,130.86365,0,0.0,호산항,137.8
경남,진주시,38030,713.05,35.20516,128.12983,6,8.415,삼천포항,31.4
경남,통영시,38050,250.09,34.82489,128.37413,2,7.997,통영항,1.6
경남,사천시,38060,402.04,35.0494,128.03735,2,4.975,삼천포항,13.5
경남,김해시,38070,461.92,35.27217,128.84521,11,23.814,진해항,22.5
경남,밀양시,38080,801.33,35.49851,128.78968,1,1.248,진해항,42.6
경남,거제시,38090,407.64,34.87017,128.62347,0,0.0,고현항,5.6
경남,양산시,38100,486.46,35.40189,129.04104,5,10.278,울산항,34.9
경남,창원시의창구,38111,211.18,35.30909,128.64952,2,9.471,마산항,19.0
경남,창원시성산구,38112,82.21,35.19612,128.67194,0,0.0,진해항,7.6
경남,창원시마산합포구,38113,242.86,35.13538,128.48612,0,0.0,마산항,10.2
경남,창원시마산회원구,38114,91.05,35.23226,128.53656,3,32.949,마산항,11.3
경남,창원시진해구,38115,125.05,35.12904,128.73666,0,0.0,진해항,5.9
경남,의령군,38310,481.56,35.39244,128.27713,0,0.0,마산항,40.2
경남,함안군,38320,415.78,35.29098,128.43087,5,12.026,마산항,22.3
경남,창녕군,38330,530.07,35.50834,128.49294,4,7.546,마산항,41.7
경남,고성군,38340,520.36,35.01597,128.29059,3,5.765,통영항,23.2
경남,남해군,38350,362.08,34.81783,127.94168,0,0.0,광양항,15.5
경남,하동군,38360,678.19,35.13734,127.77921,2,2.949,하동항,21.9
경남,산청군,38370,791.77,35.36862,127.88436,3,3.789,하동항,48.4
경남,함양군,38380,720.93,35.55174,127.72207,4,5.548,하동항,68.3
경남,거창군,38390,799.46,35.73257,127.90412,4,5.003,하동항,88.7
경남,합천군,38400,983.94,35.57666,128.14158,2,2.033,마산항,63.5
제주,제주시,39010,981.77,33.44294,126.52929,0,0.0,제주항,8.2
제주,서귀포시,39020,881.14,33.32434,126.58113,0,0.0,서귀포항,9.8
